Team,ELO
"
Green Bay",1231.65
"
UC Davis",1231.12
"
Southern",1227.92
"
Valparaiso",1226.30
"
Le Moyne",1222.95
"
Towson",1220.63
"
Furman",1220.31
"
Morgan State",1218.25
"
Delaware State",1217.57
"
UMass-Lowell",1209.63
"
Niagara",1206.69
"
Colgate",1204.87
"
Oakland",1202.45
"
UMass",1202.15
"
Evansville",1199.36
"
Presbyterian College",1196.18
"
Kennesaw State",1194.95
"
Utah Tech",1193.12
"
North Carolina Central",1193.09
"
Wagner",1192.81
"
George Mason",1185.61
"
DePaul",1183.90
"
Georgia State",1183.63
"
South Carolina State",1182.96
"
Tennessee-Martin",1182.76
"
Cal State Bakersfield",1181.94
"
Texas A&M-Corpus Christi",1179.00
"
Texas Southern",1178.76
"
Bowling Green",1178.60
"
Cal Poly",1174.33
"
Portland State",1173.37
"
Kent State",1167.51
"
Stonehill",1160.93
"
Alabama A&M",1157.28
"
Bellarmine",1148.06
"
West Georgia",1144.79
"
Arkansas-Pine Bluff",1143.56
"
Georgetown",1140.96
"
Grambling State",1136.49
"
North Carolina A&T",1134.61
"
Rhode Island",1129.04
"
Youngstown State",1125.00
"
Northwestern State",1122.56
"
Merrimack",1120.04
"
Saint Bonaventure",1119.28
"
East Texas A&M",1110.49
"
Detroit",1110.19
"
Lafayette",1105.63
"
UIC",1104.03
"
Morehead State",1102.85
"
Maine",1101.14
"
UMKC",1099.31
"
Hampton",1099.20
"
Western Illinois",1093.11
"
Monmouth",1092.70
"
Saint Peter's",1091.37
"
Manhattan",1089.65
"
Drexel",1086.26
"
Penn",1082.78
"
Alcorn State",1078.52
"
Montana",1060.72
"
Mercyhurst",1040.78
"
Mount Saint Mary's",1036.43
"
Holy Cross",1031.46
"
Coppin State",1016.79
"
Mississippi Valley State",976.32
"
Maryland Eastern Shore",964.29
